La ingeniería financiera de la IA subcontrata su riesgo real y pone en guardia a las firmas de ‘rating’||https://cincodias.elpais.com/mercados-financieros/2026-09-23/la-ingenieria-financiera-de-la-ia-subcontrata-su-riesgo-real-y-pone-en-guardia-a-las-firmas-de-rating.html||El País||Titulizaciones, crédito privado, acuerdos de ‘leasing’ que sacan del balance compromisos a largo plazo... Analistas y supervisores advierten del auge de arquitecturas que minimizan el impacto financiero de la inversión||economia||2026-09-22T22:30:01-05:00
Enrique Clemente causará baja entre seis y ocho semanas, pero evita el quirófano por ahora||https://www.infobae.com/espana/agencias/2026/09/23/enrique-clemente-causara-baja-entre-seis-y-ocho-semanas-pero-evita-el-quirofano-por-ahora/||Infobae||||general||2026-09-23T11:00:53-05:00
Triquiñuelas y consejos interesados: los usuarios financieros europeos cargan contra los brókers y ‘fininfluencers’||https://cincodias.elpais.com/mercados-financieros/2026-09-23/triquinuelas-y-consejos-interesados-los-usuarios-financieros-europeos-cargan-contra-los-brokers-y-fininfluencers.html||El País||Un estudio realizado por Finance Watch reclama una regulación más estricta sobre neobancos e intermediarios||economia||2026-09-22T22:30:01-05:00
El general Eduardo Zapateiro, investigado por presunto abuso sexual, sería el nuevo jefe de seguridad de Ecopetrol||https://www.infobae.com/colombia/2026/09/23/el-general-eduardo-zapateiro-investigado-por-presunto-abuso-sexual-seria-el-nuevo-jefe-de-seguridad-de-ecopetrol/||Infobae||El anuncio interno sobre su incorporación se habría realizado el 22 de septiembre de 2026. El hombre tendría vínculos previos con empresas de seguridad que mantienen contratos con la empresa, debido a su labor como asesor de algunas de esas compañías||general||2026-09-23T11:00:45-05:00
Soy mayor de 65 años y voy a vender mi vivienda habitual. ¿Podría hacer una segunda venta más adelante y estaría exenta de tributación?||https://elpais.com/economia/vivienda/consultorio/2026-09-23/soy-mayor-de-65-anos-y-voy-a-vender-mi-vivienda-habitual-podria-hacer-una-segunda-venta-mas-adelante-y-estaria-exenta-de-tributacion.html||El País||Los lectores envían sus preguntas al consultorio de vivienda de EL PAÍS en colaboración con Legálitas||economia||2026-09-22T22:30:00-05:00
La UE y medio centenar de países exigen a Rusia un alto el fuego y el fin de los ataques en el mar Negro||https://www.infobae.com/america/agencias/2026/09/23/la-ue-y-medio-centenar-de-paises-exigen-a-rusia-un-alto-el-fuego-y-el-fin-de-los-ataques-en-el-mar-negro/||Infobae||||general||2026-09-23T11:00:39-05:00
El Gobierno estudia una intervención de los precios del gas para frenar la subida de la factura eléctrica||https://cincodias.elpais.com/companias/2026-09-23/el-gobierno-estudia-una-intervencion-de-los-precios-del-gas-para-frenar-la-subida-de-la-factura-electrica.html||El País||El Ejecutivo analiza fijar un tope similar a la excepción ibérica, pero no hay consenso al perjudicar a las renovables y romper las reglas del mercado europeo||economia||2026-09-22T22:15:00-05:00
Avance de la IA impulsa debate sobre soberanía digital durante la Asamblea de la ONU||https://www.infobae.com/america/agencias/2026/09/23/avance-de-la-ia-impulsa-debate-sobre-soberania-digital-durante-la-asamblea-de-la-onu/||Infobae||||general||2026-09-23T11:00:34-05:00
Ferrovial, ACS, Acciona y Sacyr miden su capacidad financiera este otoño en nuevas autopistas de EE UU||https://cincodias.elpais.com/companias/2026-09-23/ferrovial-acs-acciona-y-sacyr-miden-su-capacidad-financiera-este-otono-en-nuevas-autopistas-de-ee-uu.html||El País||La atención del sector concesional está en si el grupo de Rafael del Pino ha jugado fuerte por la I-285 de Atlanta tras ofertar 34.000 millones de dólares para ganar la I-24 en Tennessee||economia||2026-09-22T22:15:00-05:00
Tres horas de alta velocidad entre Madrid y Sevilla para asegurar el futuro de una ‘Start-up’||https://cincodias.elpais.com/companias/2026-09-23/tres-horas-de-alta-velocidad-entre-madrid-y-sevilla-para-asegurar-el-futuro-de-una-start-up.html||El País||Siete empresas emergentes participan en el ‘Pitch Train’ con el objetivo de contactar con potenciales inversores y corporaciones interesadas en sus proyectos||economia||2026-09-22T22:15:00-05:00
Cinco apuestas para transformar el campo colombiano: la propuesta que el ministerio de Agricultura presentó ante el Congreso de la República||https://www.eltiempo.com/economia/cinco-apuestas-para-transformar-el-campo-colombiano-la-propuesta-que-el-ministerio-de-agricultura-presento-ante-el-congreso-de-la-republica-3588098||El Tiempo||El ministro Indalecio Dangond presentó ante el Senado cinco prioridadespara el sector agropecuario, entre ellas crédito para pequeños productores.||economia||2026-09-22T20:02:38-05:00
Uso del efectivo en compras habituales cae al 65 por ciento pero el efectivo en circulación llega a 170,2 billones de pesos||https://www.eltiempo.com/economia/sectores/uso-del-efectivo-en-compras-habituales-cae-al-65-por-ciento-pero-el-efectivo-en-circulacion-llega-a-170-2-billones-de-pesos-3585239||El Tiempo||El Banco de la República confirma la reducción de las transacciones en billetes ante el aumento de transferencias.||economia||2026-09-22T20:02:06-05:00
El juez sienta en el banquillo a Oscar Pierre, cofundador de Glovo, por mantener a falsos autónomos||https://elpais.com/espana/catalunya/2026-09-22/el-juez-sienta-en-el-banquillo-a-oscar-pierre-cofundador-de-glovo-por-mantener-a-falsos-autonomos.html||El País||El magistrado cree que las decisiones del consejero delegado de la compañía “menoscaban y suprimen los derechos” de los repartidores||economia||2026-09-22T13:47:07-05:00
